5.4	5.3	5.3	5.3	5.2	5.1	5	5	4.9	4.7	4.5	4.3	4.3	4.3	4.3	4.3	4.5	4.7	4.9	5	
5.3	5.3	5.3	5.2	5.1	5	5	4.9	4.7	4.5	4.3	4.3	4.1	4.1	4.1	4.1	4.3	4.5	4.7	4.9	
5.3	5.3	5.2	5.1	5	4.9	4.9	4.7	4.7	4.3	4.1	4.1	3.9	3.9	3.9	3.9	4.1	4.3	4.5	4.7	
5.3	5.2	5.1	5	4.9	4.9	4.7	4.7	4.3	4.1	3.9	3.9	3.7	3.7	3.7	3.7	3.8	4.1	4.3	4.5	
5.1	5.1	5	4.9	4.9	4.7	4.5	4.3	4.1	4.1	3.9	3.7	3.5	3.6	3.7	3.7	3.9	4.1	4.3	4.4	
5.1	5.1	5	4.9	4.7	4.5	4.3	4.1	4.1	3.9	3.7	3.5	3.4	3.5	3.6	3.7	3.9	4.1	4.4	4.4	
5.2	5.1	5	4.9	4.9	4.7	4.5	4.3	4.1	3.9	3.7	3.4	3.3	3.4	3.5	3.7	3.9	4.1	4.4	4.5	
5.3	5.2	5.1	5	5	4.9	4.7	4.5	4.3	4.1	3.7	3.5	3.4	3.5	3.7	3.9	4.1	4.1	4.3	4.5	
5.3	5.2	5.2	5.1	5	4.9	4.7	4.5	4.3	4.1	3.9	3.7	3.5	3.7	3.9	4.1	4.1	4.3	4.5	4.7	
5.3	5.2	5.2	5.2	5.1	5	4.9	4.7	4.5	4.3	4.1	3.9	3.7	3.9	3.9	4.1	4.3	4.5	4.7	4.9	
5.4	5.3	5.2	5.2	5.1	5	4.9	4.7	4.5	4.3	4.1	4.1	3.9	3.9	4.1	4.3	4.5	4.7	4.9	5	
5.5	5.3	5.2	5.2	5.2	5.1	5	4.9	4.7	4.5	4.3	4.1	4.1	4.1	4.3	4.5	4.7	4.9	5	5.1	
5.5	5.5	5.3	5.2	5.2	5.2	5.1	5.1	4.9	4.7	4.5	4.3	4.3	4.3	4.5	4.7	4.9	5	5.1	5.2	
5.6	5.6	5.5	5.3	5.3	5.2	5.2	5.1	5	4.9	4.7	4.5	4.5	4.5	4.7	4.9	5	5.1	5.2	5.3	
5.7	5.7	5.6	5.5	5.3	5.2	5.2	5.2	5.1	5	4.9	4.7	4.7	4.7	4.9	5	5.1	5.1	5.2	5.3	
5.8	5.7	5.7	5.6	5.5	5.3	5.2	5.2	5.2	5.1	5	5	5	5	5	5.1	5.2	5.2	5.3	5.4	
5.8	5.8	5.7	5.7	5.6	5.5	5.3	5.3	5.2	5.2	5.1	5.1	5.1	5.1	5.1	5.2	5.3	5.3	5.4	5.5	
5.9	5.9	5.8	5.7	5.7	5.6	5.5	5.5	5.3	5.3	5.2	5.2	5.2	5.2	5.2	5.3	5.5	5.4	5.6	5.6	
5.9	5.9	5.9	5.8	5.8	5.7	5.6	5.6	5.5	5.5	5.3	5.3	5.3	5.3	5.5	5.5	5.5	5.5	5.6	5.7	
6	5.9	5.9	5.9	5.8	5.7	5.7	5.6	5.6	5.6	5.5	5.5	5.4	5.4	5.5	5.5	5.6	5.6	5.7	5.7	
